date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:29	62938/62938	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2015:08:21%20GMT	https://www.athenastudio.co/themes/naxos/image.html	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/image.html	(from )
15:05:31	137/137	---MCZ	200	added ('OK')	text/plain	date:Tue,%2001%20Oct%202024%2008:05:31%20GMT	https://www.athenastudio.co/robots.txt		(from )
15:05:32	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2261a7a7a6-47e%22	https://www.athenastudio.co/themes/naxos/images/favicon.ico	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/favicon.ico	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:32	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2264b191ce-38dd2%22	https://www.athenastudio.co/themes/naxos/assets/library/bootstrap/css/bootstrap.min.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/bootstrap/css/bootstrap.min.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:33	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a769-e7d0%22	https://www.athenastudio.co/themes/naxos/assets/library/fontawesome/css/all.min.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/fontawesome/css/all.min.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:33	8795/8795	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a77b-225b%22	https://www.athenastudio.co/themes/naxos/assets/library/linea/arrows/styles.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/linea/arrows/styles.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:34	7835/7835	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a77f-1e9b%22	https://www.athenastudio.co/themes/naxos/assets/library/linea/basic/styles.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/linea/basic/styles.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:34	5653/5653	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a781-1615%22	https://www.athenastudio.co/themes/naxos/assets/library/linea/ecommerce/styles.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/linea/ecommerce/styles.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:34	7056/7056	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a784-1b90%22	https://www.athenastudio.co/themes/naxos/assets/library/linea/software/styles.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/linea/software/styles.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:35	5851/5851	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a784-16db%22	https://www.athenastudio.co/themes/naxos/assets/library/linea/weather/styles.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/linea/weather/styles.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:35	77906/77906	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a757-13052%22	https://www.athenastudio.co/themes/naxos/assets/library/animate/animate.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/animate/animate.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:35	17010/17010	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a777-4272%22	https://www.athenastudio.co/themes/naxos/assets/library/lightcase/css/lightcase.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/lightcase/css/lightcase.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:36	15821/15821	---MCZ	200	added ('OK')	text/css	etag:W/%22620655a7-3dcd%22	https://www.athenastudio.co/themes/naxos/assets/library/swiper/swiper-bundle.min.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/swiper/swiper-bundle.min.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:36	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a785-d17%22	https://www.athenastudio.co/themes/naxos/assets/library/owlcarousel/owl.carousel.min.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/owlcarousel/owl.carousel.min.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:37	1728/1728	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a791-6c0%22	https://www.athenastudio.co/themes/naxos/assets/library/slick/slick.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/slick/slick.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:37	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a784-1b27%22	https://www.athenastudio.co/themes/naxos/assets/library/magnificpopup/magnific-popup.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/magnificpopup/magnific-popup.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:38	9244/9244	---MCZ	200	added ('OK')	text/css	etag:W/%22620cf7ce-241c%22	https://www.athenastudio.co/themes/naxos/assets/library/ytplayer/css/jquery.mb.ytplayer.min.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/ytplayer/css/jquery.mb.ytplayer.min.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:38	49803/49803	---MCZ	200	added ('OK')	text/css	etag:W/%22623f54f1-c28b%22	https://www.athenastudio.co/themes/naxos/assets/css/style.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/css/style.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:38	4893/4893	---MCZ	200	added ('OK')	text/css	etag:W/%226220f3fb-131d%22	https://www.athenastudio.co/themes/naxos/assets/css/media.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/css/media.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:38	3265/3265	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a753-cc1%22	https://www.athenastudio.co/themes/naxos/assets/colors/blue.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/colors/blue.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:39	2580/2580	---MCZ	200	added ('OK')	text/css	etag:W/%2261a7a791-a14%22	https://www.athenastudio.co/themes/naxos/assets/library/settings/settings.css	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/assets/library/settings/settings.css	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:39	2355/2355	---M--	200	added ('OK')	image/png	etag:%2261a7a7a7-933%22	https://www.athenastudio.co/themes/naxos/images/logo-white.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/logo-white.png	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:40	2501/2501	---M--	200	added ('OK')	image/png	etag:%2261a7a7a7-9c5%22	https://www.athenastudio.co/themes/naxos/images/logo.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/logo.png	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:41	32784/32784	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2015:08:25%20GMT	https://www.athenastudio.co/themes/naxos/blog.html	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/blog.html	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:41	21011/21011	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2015:08:25%20GMT	https://www.athenastudio.co/themes/naxos/contact.html	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/contact.html	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:42	9143/9143	---M--	200	added ('OK')	image/png	etag:%2261a7a7a5-23b7%22	https://www.athenastudio.co/themes/naxos/images/clients/company-1.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/clients/company-1.png	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:42	12179/12179	---M--	200	added ('OK')	image/png	etag:%2261a7a7a6-2f93%22	https://www.athenastudio.co/themes/naxos/images/clients/company-2.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/clients/company-2.png	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:43	366755/366755	---M--	200	added ('OK')	image/png	etag:%2261a7a795-598a3%22	https://www.athenastudio.co/themes/naxos/images/banner/single-welcome.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/banner/single-welcome.png	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:43	23209/23209	---M--	200	added ('OK')	image/png	etag:%2261a7a7a6-5aa9%22	https://www.athenastudio.co/themes/naxos/images/clients/company-3.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/clients/company-3.png	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:44	37658/37658	---M--	200	added ('OK')	image/png	etag:%2261a7a7a6-931a%22	https://www.athenastudio.co/themes/naxos/images/clients/company-4.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/clients/company-4.png	(from https://www.athenastudio.co/themes/naxos/image.html)
15:05:44	4856/4856	---M--	200	added ('OK')	image/png	etag:%2261a7a7a6-12f8%22	https://www.athenastudio.co/themes/naxos/images/clients/company-5.png	C:/Users/Admin/Desktop/testUI/www.athenastudio.co/themes/naxos/images/clients/company-5.png	(from https://www.athenastudio.co/themes/naxos/image.html)
